pclass,sex_male,sex_female,age,sibsp,parch,fare,embarked_C,embarked_S,embarked_Q,embarked_
3.0,1.0,0.0,12.0,1.0,0.0,11.2417,1.0,0.0,0.0,0.0
2.0,1.0,0.0,34.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,0.75,2.0,1.0,19.2583,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.85071919312419,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,5.0,4.0,2.0,31.3875,0.0,1.0,0.0,0.0
1.0,0.0,1.0,54.0,1.0,1.0,81.8583,0.0,1.0,0.0,0.0
3.0,1.0,0.0,45.5,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,23.868909679526354,1.0,1.0,14.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,18.0,0.0,0.0,7.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,43.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,0.0,1.0,48.0,1.0,1.0,79.2,1.0,0.0,0.0,0.0
3.0,0.0,1.0,37.0,0.0,0.0,9.5875,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,0.0,1.0,12.0,0.0,0.0,15.75,0.0,1.0,0.0,0.0
2.0,0.0,1.0,18.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,22.0,0.0,0.0,135.6333,1.0,0.0,0.0,0.0
1.0,1.0,0.0,46.0,0.0,0.0,75.2417,1.0,0.0,0.0,0.0
3.0,1.0,0.0,0.8333,0.0,1.0,9.35,0.0,1.0,0.0,0.0
3.0,1.0,0.0,23.0,0.0,0.0,7.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,29.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85563232512949,0.0,0.0,7.8958,1.0,0.0,0.0,0.0
3.0,0.0,1.0,22.8541315488966,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.235996219105523,0.0,0.0,7.7792,0.0,0.0,1.0,0.0
3.0,0.0,1.0,23.81750403688493,1.0,0.0,15.5,0.0,0.0,1.0,0.0
3.0,1.0,0.0,27.633542666703498,0.0,0.0,7.05,0.0,1.0,0.0,0.0
2.0,1.0,0.0,70.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,23.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
2.0,1.0,0.0,18.0,0.0,0.0,73.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,31.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,24.0,0.0,2.0,16.7,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.651600232579582,0.0,0.0,9.5,0.0,1.0,0.0,0.0
1.0,0.0,1.0,48.0,1.0,0.0,106.425,1.0,0.0,0.0,0.0
1.0,0.0,1.0,21.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,1.0,0.0,45.0,0.0,0.0,29.7,1.0,0.0,0.0,0.0
1.0,1.0,0.0,61.0,1.0,3.0,262.375,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,9.325,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,2.0,0.0,24.15,0.0,1.0,0.0,0.0
1.0,1.0,0.0,35.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0
1.0,1.0,0.0,42.27548117535769,0.0,0.0,26.55,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.688452407836895,0.0,0.0,14.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,22.0,2.0,0.0,31.5,0.0,1.0,0.0,0.0
